OrgSize,Apache Kafka,Apache Flink,Apache Spark,Apache Storm,Apache Pulsar,Amazon Kinesis,Google Cloud Pub/Sub,Azure Stream Analytics,RabbitMQ,Redis,Apache NiFi,Apache Beam,Confluent Cloud,AWS MSK,Google Dataflow,Apache Samza,Amazon MSK,Azure Event Hubs,AWS Lambda,Total_Respondents
"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,4152
"10,000 or more employees",0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,4959
100 to 499 employees,0,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,0,0,6104
20 to 99 employees,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,6680
"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,1604
500 to 999 employees,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,2359
I don’t know,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,929
"Just me - I am a freelancer, sole proprietor, etc.",0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,1760
Less than 20 employees,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,5597
Not specified,0,0,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,14979
