OrgSize,Apache Kafka,Apache Flink,Apache Spark,Apache Storm,Apache Pulsar,Amazon Kinesis,Google Cloud Pub/Sub,Azure Stream Analytics,RabbitMQ,Redis,Apache NiFi,Apache Beam,Confluent Cloud,AWS MSK,Google Dataflow,Apache Samza,Amazon MSK,Azure Event Hubs,AWS Lambda
"1,000 to 4,999 employees",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.702312138728324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10,000 or more employees",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.115749142972373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100 to 499 employees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.724115334207077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 to 99 employees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.077844311377245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5,000 to 9,999 employees",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.27431421446384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500 to 999 employees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.60958033064858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I don’t know,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.934337997847146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Just me - I am a freelancer, sole proprietor, etc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.011363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Less than 20 employees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83205288547436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not specified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.316910341144268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
