Country,Age,YearsCode,Employment,OrgSize,Apache Kafka,Apache Flink,Apache Spark,Apache Storm,Apache Pulsar,Amazon Kinesis,Google Cloud Pub/Sub,Azure Stream Analytics,RabbitMQ,Redis,Apache NiFi,Apache Beam,Confluent Cloud,AWS MSK,Google Dataflow,Apache Samza,Amazon MSK,Azure Event Hubs,AWS Lambda,ExperienceLevel,CountryGroup
Ukraine,25-34 years old,14.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Netherlands,25-34 years old,10.0,Employed,500 to 999 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Netherlands
Ukraine,35-44 years old,12.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,35-44 years old,5.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Ukraine
Ukraine,35-44 years old,22.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,45-54 years old,20.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,25-34 years old,13.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,35-44 years old,30.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,25-34 years old,15.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,25-34 years old,10.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,25-34 years old,9.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
Ukraine,18-24 years old,5.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Ukraine
Ukraine,35-44 years old,10.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Ukraine
India,25-34 years old,6.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),India
Georgia,35-44 years old,,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not specified,Other
India,18-24 years old,3.0,Student,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),India
Australia,65 years or older,40.0,Retired,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Australia
Greece,25-34 years old,8.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Germany,35-44 years old,20.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Bangladesh,25-34 years old,6.0,"Independent contractor, freelancer, or self-employed",I don’t know,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Other
Brazil,55-64 years old,45.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Brazil
United States of America,45-54 years old,35.0,Employed,I don’t know,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,25-34 years old,11.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Netherlands,18-24 years old,7.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Netherlands
Lithuania,65 years or older,47.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United Kingdom of Great Britain and Northern Ireland,55-64 years old,41.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
