"check_type","source","value"
"Category Distribution","Furniture","904"
"Category Distribution","Office Supplies","2560"
"Category Distribution","Technology","880"
"Duplicate Check - customer_id","dw.customer_dim","0"
"Duplicate Check - order_id","stg.orders","2471"
"Duplicate Check - sales_id","dw.sales_fact","0"
"Record Count","dw.sales_fact","9994"
"Record Count","stg.orders","9994"
"Reference Integrity - customer_dim","dw.sales_fact","0"
"Reference Integrity - product_dim","dw.sales_fact","0"
"Reference Integrity - shipping_dim","dw.sales_fact","0"
"Total Discount","dw.sales_fact","1561.09"
"Total Discount","stg.orders","1561.09"
"Total Profit","dw.sales_fact","286397.0216999999887055"
"Total Profit","stg.orders","286397.0216999999887055"
"Total Sales","dw.sales_fact","2297200.8603"
"Total Sales","stg.orders","2297200.8603"
"Unique Orders","dw.sales_fact","9994"
"Unique Orders","stg.orders","5009"
